latitude,longitude,rwi,error
4.0505767,9.0856934,0.016,0.431
4.0067400,14.0075684,-0.591,0.354
10.0662199,13.4362793,-0.484,0.336
6.3698938,11.2829590,-0.477,0.362
10.3473437,14.7766113,-0.569,0.336
7.5040887,14.0075684,-0.259,0.339
4.9924497,10.3820801,-0.527,0.351
6.1951683,10.5139160,-0.177,0.388
3.2173020,10.9973145,-0.354,0.379
9.5032437,13.0847168,-0.466,0.337
4.2697242,12.9528809,0.108,0.389
4.9924497,12.6013184,-0.628,0.365
3.8532931,11.0412598,-0.151,0.395
9.9580298,13.6779785,-0.585,0.346
6.7628064,12.7111816,-0.710,0.350
7.0463790,14.4909668,0.013,0.365
3.2831139,10.6896973,-0.325,0.363
3.6340356,10.2062988,-0.748,0.355
10.9088300,14.0295410,-0.732,0.347
6.5445599,11.8981934,-0.410,0.350
11.7490585,14.9743652,-0.362,0.332
4.1601581,10.1184082,-0.062,0.385
9.2214045,13.6120605,-0.407,0.348
2.4931093,9.8327637,-0.369,0.359
4.7297265,11.4367676,-0.741,0.362
5.5613152,10.9094238,-0.293,0.366
9.2647792,13.0627441,-0.496,0.339
7.7654229,13.9855957,-0.496,0.339
2.7784514,11.9641113,0.179,0.370
5.4300853,10.3601074,0.661,0.446
9.6549077,13.2824707,-0.310,0.340
5.8018269,9.7009277,-0.523,0.385
11.6845141,15.0183105,-0.752,0.349
9.7631974,13.9416504,-0.093,0.436
2.6248138,12.6672363,-0.091,0.340
6.4135660,12.8430176,-0.708,0.352
7.5476555,15.4577637,0.098,0.551
8.5267005,12.5793457,-0.376,0.369
5.4082108,9.8986816,-0.598,0.348
6.7191648,10.5139160,0.066,0.364
6.9373327,15.1062012,-0.092,0.348
7.6783293,15.4357910,-0.385,0.350
4.6640299,12.3596191,0.502,0.478
10.5634219,14.3151855,0.018,0.383
9.2647792,13.0407715,-0.472,0.338
8.8742168,14.0295410,-0.271,0.362
4.0505767,11.8762207,-0.215,0.457
4.5107140,10.3601074,-0.358,0.348
3.8752158,10.8435059,0.616,0.465
4.6421296,10.0964355,-0.288,0.351
3.0417830,11.4807129,-0.648,0.348
5.1237722,11.4147949,-0.375,0.351
7.0245718,14.4689941,-0.512,0.355
3.6121068,11.8542480,-0.511,0.349
12.1574857,14.8205566,-0.399,0.383
5.2769476,9.8547363,-0.549,0.460
9.1563324,13.0847168,-0.680,0.357
3.5901776,12.0080566,-0.203,0.349
9.4382242,12.9528809,-0.496,0.348
7.0245718,10.1843262,-0.681,0.345
3.2831139,12.2497559,-0.388,0.352
7.2425974,13.9196777,-0.048,0.355
5.4738318,9.2834473,-0.221,0.367
4.5983271,11.2609863,0.889,0.496
6.4790672,11.0192871,-0.455,0.341
10.3905714,14.8645020,-0.653,0.371
10.0445848,15.2600098,-0.489,0.349
4.6202287,13.6560059,-0.512,0.393
4.1820725,15.0402832,0.186,0.526
4.0724942,11.2390137,-0.621,0.392
6.0640861,9.4812012,-0.741,0.367
10.6066195,14.2932129,1.063,0.522
10.5850215,15.0842285,-0.180,0.334
3.4585910,12.6013184,-0.635,0.348
8.4832384,14.9963379,-0.278,0.331
6.7191648,13.1506348,-0.440,0.363
6.6536952,14.0075684,-0.535,0.359
10.4986143,14.0515137,-0.698,0.360
6.1514779,10.0744629,-0.540,0.375
10.0229482,13.4582520,-0.399,0.350
9.7848511,13.6120605,-0.529,0.339
4.0724942,12.8210449,-0.689,0.373
3.6778914,11.7443848,-0.259,0.354
6.3480564,10.7336426,-0.159,0.373
3.9190595,11.7663574,-0.049,0.420
6.8937071,11.7004395,-0.575,0.364
7.3297783,12.9968262,-0.737,0.353
10.4986143,13.8317871,-0.311,0.334
6.5445599,10.6457520,-0.865,0.356
10.4337931,14.2492676,0.050,0.400
6.7409861,10.6457520,-0.612,0.372
2.2077054,15.3698730,-0.256,0.343
3.7217452,11.3049316,-0.455,0.366
9.6765684,13.3044434,-0.547,0.340
8.3962996,12.2497559,-0.615,0.358
3.4805234,15.4577637,-0.611,0.383
2.2077054,10.7995605,-0.515,0.340
7.2643942,13.6340332,-0.120,0.357
4.2478122,13.5021973,-0.856,0.369
4.2478122,12.9528809,-0.849,0.361
11.1676236,14.2053223,-0.223,0.341
10.7793483,14.6667480,-0.463,0.365
8.1571180,15.1940918,-0.516,0.333
5.8892605,10.4919434,0.966,0.369
10.7793483,14.7106934,-0.402,0.354
7.5476555,15.3918457,-0.611,0.349
5.9111167,14.4909668,-0.182,0.390
6.4790672,9.5910645,-0.643,0.375
7.1553996,13.6999512,0.266,0.453
6.2388552,11.3049316,-0.184,0.352
7.1117945,12.9528809,-0.960,0.346
9.3298312,13.8757324,-0.464,0.354
3.0417830,11.6784668,-0.564,0.373
10.3041101,14.2932129,-0.368,0.355
8.5918843,14.9963379,-0.144,0.357
4.6421296,11.6784668,-0.753,0.436
12.1789647,14.9084473,-0.447,0.339
6.4135660,10.3820801,-0.224,0.351
9.5899171,13.6340332,-0.584,0.355
7.1553996,14.0515137,-0.537,0.363
7.0463790,13.2824707,-0.574,0.347
10.0878536,13.7658691,-0.332,0.349
4.7516240,9.5690918,-0.200,0.350
3.7217452,10.2062988,-0.571,0.358
7.0681852,13.6120605,-0.301,0.367
3.1953637,12.4035645,-0.097,0.374
3.9190595,10.7995605,-0.581,0.378
7.1772006,13.2824707,-0.423,0.350
3.3050503,10.9094238,-0.335,0.351
12.5867322,14.4470215,-0.107,0.506
6.4790672,11.1071777,-0.761,0.342
3.0198411,10.8874512,-0.518,0.348
4.6421296,8.6022949,-0.492,0.339
6.5227299,12.9528809,-0.672,0.359
4.7078283,14.5788574,-0.888,0.361
10.2608706,14.4030762,0.012,0.338
6.1951683,11.4147949,-0.100,0.351
6.6536952,12.2937012,-0.811,0.351
3.7655967,11.5466309,0.832,0.479
4.1601581,9.3273926,0.151,0.486
6.5445599,9.9206543,-0.670,0.360
8.9393399,13.7219238,-0.751,0.346
6.5008990,10.9533691,-0.805,0.342
10.9951198,13.8317871,-0.284,0.337
4.6421296,9.7229004,-0.288,0.441
8.7004990,13.9855957,-0.074,0.355
5.6706511,10.1184082,-0.640,0.379
7.6565531,13.7658691,-0.483,0.348
6.7409861,12.5793457,-0.164,0.352
2.5809138,12.1398926,-0.133,0.354
9.8065034,13.7878418,-0.301,0.337
4.1382430,14.4689941,-0.483,0.352
10.6498109,14.2053223,-0.342,0.363
5.7581050,9.3273926,-0.109,0.469
3.5682478,11.3488770,-0.645,0.385
8.9827489,13.0847168,-0.222,0.379
6.4572344,10.9973145,-0.391,0.342
7.2861900,14.4909668,-0.793,0.339
3.5682478,10.8215332,-0.694,0.357
5.6487856,13.3483887,-0.336,0.374
4.8829942,14.5788574,-0.886,0.386
6.5445599,11.0852051,-0.359,0.361
8.8525066,14.4689941,-0.559,0.332
7.9830776,15.3259277,-0.376,0.335
8.8742168,13.6120605,-0.688,0.348
6.6973426,10.5798340,-0.301,0.346
10.8225151,14.5568848,-0.660,0.338
3.9409805,10.6018066,-0.396,0.415
9.9363874,14.1174316,0.314,0.349
6.6318701,10.8435059,-0.696,0.342
6.1733235,10.6896973,0.111,0.448
10.8009324,13.9416504,-0.105,0.341
3.3927908,9.9865723,-0.581,0.361
6.5227299,10.8215332,-0.845,0.346
4.0286586,10.9533691,-0.196,0.369
6.5008990,10.5358887,-0.286,0.362
4.0944111,9.4812012,-0.145,0.417
2.6467632,12.1618652,-0.655,0.340
8.0483515,15.1940918,-0.226,0.339
3.9848207,11.5026855,-0.106,0.479
3.0637244,11.5466309,-0.442,0.346
5.7799663,10.6237793,0.581,0.400
3.2611771,14.9523926,-0.325,0.351
4.1382430,10.9094238,-0.391,0.359
9.9580298,14.7985840,-0.356,0.329
10.7361753,14.1174316,-0.143,0.417
4.1382430,9.5031738,0.545,0.454
10.9735497,14.8205566,-0.505,0.343
8.0483515,15.3039551,-0.208,0.334
2.1857489,11.1071777,-0.289,0.395
9.3081485,14.2272949,-0.596,0.359
12.6081759,14.2932129,-0.185,0.329
5.3644596,10.0524902,-0.117,0.410
10.6498109,13.9416504,-0.557,0.342
3.6340356,12.2937012,-0.417,0.350
7.5258726,13.5681152,-0.100,0.386
2.3613917,15.3479004,-0.732,0.342
10.4337931,14.4689941,-0.216,0.343
7.8307313,14.9743652,-0.284,0.334
9.6332456,13.4582520,-0.303,0.362
3.8971380,10.7775879,-0.071,0.396
9.1780244,13.4802246,-0.715,0.344
2.3833455,10.6237793,0.145,0.534
4.5107140,11.4807129,-0.074,0.376
6.9809543,14.9963379,-0.375,0.357
4.0724942,9.2175293,0.866,0.488
6.1951683,11.1291504,-0.519,0.350
12.9510290,14.5129395,-0.796,0.374
9.4815719,14.1613770,-0.439,0.335
4.2697242,9.3933105,0.022,0.453
9.8714518,13.7658691,-0.541,0.350
4.9486696,11.3928223,-0.011,0.463
4.5545219,13.0187988,-0.411,0.370
5.0143386,9.3273926,-0.544,0.366
5.9329721,11.3928223,-0.410,0.354
8.8307950,13.7878418,-0.436,0.347
7.8742645,15.1501465,-0.533,0.339
6.2388552,9.8547363,-0.662,0.360
3.8094460,10.9973145,-0.225,0.480
5.6050520,9.5471191,-0.733,0.377
4.9486696,10.8654785,-0.441,0.374
10.2176252,14.9084473,-0.548,0.339
4.7078283,11.6784668,-0.265,0.418
7.1117945,12.2277832,-0.490,0.343
10.9519780,14.1613770,-0.092,0.357
12.4580325,14.5349121,-0.301,0.333
6.1077838,10.2282715,-0.352,0.413
4.7297265,9.6789551,0.019,0.439
4.0944111,12.4255371,-0.374,0.363
5.8892605,14.2932129,-0.744,0.404
10.7793483,14.0954590,-0.383,0.346
6.5445599,11.5026855,-0.162,0.376
5.2113056,10.3381348,-0.303,0.378
12.3936586,14.2053223,-0.490,0.348
4.0286586,10.8654785,-0.424,0.398
5.2331870,10.5358887,-0.028,0.378
4.6640299,13.3044434,-0.511,0.379
4.7735207,11.1730957,0.003,0.410
7.1772006,12.5354004,-0.144,0.340
6.3043786,11.0192871,-0.529,0.360
6.3262180,11.1291504,-0.192,0.347
5.7799663,9.7009277,-0.500,0.385
10.1094859,14.2053223,-0.405,0.376
3.5901776,11.2170410,-0.569,0.372
8.9393399,13.9416504,-0.341,0.339
4.2039864,9.6130371,0.413,0.431
4.6859294,11.2829590,-0.318,0.387
6.1296313,10.4260254,-0.625,0.375
5.4519589,11.0632324,-0.316,0.380
7.1772006,14.0734863,-0.261,0.346
10.2392486,14.9963379,-0.233,0.336
3.8752158,15.0842285,-0.684,0.376
8.8525066,12.9089355,-0.690,0.338
4.4449973,9.9645996,0.370,0.404
10.4121830,14.4470215,-0.308,0.427
3.2173020,11.8762207,-0.316,0.357
2.7126091,10.0964355,0.129,0.463
6.3043786,10.0744629,-0.549,0.371
9.5682508,13.8977051,-0.428,0.352
10.2824911,15.3479004,-0.117,0.400
10.8225151,14.4689941,-0.586,0.336
7.0027636,13.5900879,-0.299,0.367
7.1553996,12.4475098,-0.113,0.340
10.4121830,15.2160645,-0.337,0.342
5.6925158,10.3820801,-0.375,0.388
3.6340356,9.9865723,-0.694,0.358
6.2606973,10.4479980,-0.484,0.374
6.8282612,14.1174316,-0.475,0.345
4.8392069,13.5461426,-0.416,0.360
4.0505767,12.1179199,-0.210,0.373
5.4738318,11.0852051,-0.341,0.347
4.0505767,11.3269043,0.389,0.402
8.7873681,14.0295410,0.158,0.362
3.2611771,12.1179199,0.062,0.351
3.3927908,11.1950684,-0.237,0.370
4.5764249,13.6560059,1.129,0.531
6.3917304,10.5798340,0.228,0.415
9.4165483,13.6560059,-0.786,0.347
4.1382430,12.7551270,-0.500,0.362
10.4121830,14.0075684,-0.266,0.333
6.0859354,10.7116699,-0.573,0.353
10.0662199,15.1281738,-0.218,0.328
3.3269861,10.9094238,-0.405,0.350
5.4519589,9.4812012,-0.070,0.433
4.6202287,13.4143066,-0.312,0.367
3.0417830,11.9641113,0.401,0.420
4.1382430,11.2829590,-0.245,0.423
5.8018269,11.2390137,-0.585,0.369
2.2735730,14.1833496,-0.449,0.334
4.2697242,13.5021973,-0.602,0.386
3.4147247,11.2609863,-0.515,0.348
8.8525066,13.5021973,-0.256,0.404
9.7198857,13.9416504,-0.496,0.358
6.3480564,12.2277832,-0.619,0.360
9.5465832,13.5900879,-0.757,0.358
7.7218784,14.5788574,-0.367,0.347
6.0640861,14.0075684,-0.367,0.357
10.1743738,14.3591309,-0.447,0.334
10.4770087,14.8205566,-0.733,0.331
5.9985331,10.9753418,-0.453,0.355
6.4790672,10.7556152,-0.163,0.415
4.2916356,12.9528809,-0.250,0.369
6.9373327,12.6672363,-0.408,0.372
3.5901776,11.3049316,0.609,0.474
3.7875216,11.3928223,0.747,0.467
6.5663889,10.3161621,-0.682,0.373
5.8455454,10.7995605,-0.557,0.465
2.0320445,15.3039551,-0.924,0.352
6.4790672,13.2604980,0.900,0.499
6.5663889,12.9309082,-0.640,0.358
12.5223904,14.7985840,-0.193,0.343
3.6559638,10.4479980,-0.443,0.356
5.1894234,9.2834473,-0.435,0.338
6.9155204,12.9528809,-0.431,0.345
5.3425828,10.2062988,-0.097,0.383
4.9705600,10.7116699,0.656,0.468
4.7954168,11.3269043,-0.523,0.365
4.0944111,10.9094238,-0.436,0.391
6.5445599,10.2722168,-0.672,0.350
3.8971380,12.4255371,-0.272,0.373
5.5613152,10.7116699,-0.448,0.371
10.2176252,15.2160645,0.237,0.328
6.3043786,11.7224121,-0.425,0.353
4.2258996,10.7995605,-0.424,0.357
7.8524985,12.4914551,-0.155,0.340
4.4449973,14.4689941,-0.507,0.391
6.8937071,12.4914551,-0.739,0.353
10.1094859,14.9084473,-0.664,0.338
2.3174830,9.8547363,-0.601,0.356
9.9363874,13.3923340,-0.430,0.339
6.1514779,10.8435059,-0.477,0.349
6.3262180,11.4367676,-0.842,0.351
6.6100440,10.5798340,-0.213,0.349
10.5418209,14.0954590,-0.404,0.381
6.1514779,10.8215332,-0.324,0.350
10.4554016,13.7438965,-0.445,0.354
10.1527460,14.6008301,-0.323,0.382
4.8611009,14.6447754,-0.569,0.390
9.0478525,13.4582520,-0.123,0.346
5.3425828,10.0085449,0.913,0.397
12.8867796,14.4689941,-0.178,0.330
3.4805234,10.1403809,-0.746,0.404
5.8892605,10.4040527,-0.264,0.364
4.0286586,9.9426270,-0.777,0.418
10.5202184,14.4470215,-0.689,0.338
4.4449973,10.8435059,-0.431,0.370
4.9924497,14.0515137,-0.666,0.421
6.2388552,10.6896973,0.273,0.450
5.3863356,10.1843262,-0.396,0.371
8.6787785,13.9855957,-0.493,0.337
6.3262180,13.1726074,-0.222,0.370
5.7362428,9.7448730,-0.847,0.383
5.5613152,11.0632324,-0.260,0.364
5.4082108,10.9973145,-0.484,0.361
6.6536952,14.2053223,-0.594,0.474
7.2643942,14.4909668,-0.459,0.339
2.6687122,11.7004395,-0.715,0.336
6.7191648,11.0412598,-0.546,0.345
